date,fng_value,fng_class,open,high,low,close,volume,close_t+1,close_change,close_t+1_change,sma_3d,sma_7d,sma_14d,ema_5d,ema_10d,ema_21d,std_14d,upper_band,lower_band,rsi,close_dir,high_dir,low_dir,volume_dir,target,fng_change,year,month,day,day_of_week
2018-02-01,30,Fear,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9959400448,8830.75,-1050.5595703125,-339.7900390625,9832.646484375,10741.820033482143,11122.71728515625,10210.587415132559,10769.75472854724,11685.743434839576,878.1838432156311,12879.084971587512,9366.349598724988,20.56499432902966,0,0,0,1,0,0.0,2018,2,1,3
2018-02-02,15,Extreme Fear,9142.2802734375,9142.2802734375,7796.490234375,8830.75,12726899712,9174.91015625,-339.7900390625,344.16015625,9407.463216145834,10407.44140625,10924.38511439732,9750.641610088373,10417.208414265922,11426.198577126886,1055.8695445494989,13036.124203496318,8812.646025298323,19.202364278830714,0,0,0,1,1,-15.0,2018,2,2,4
2018-02-03,40,Fear,8852.1201171875,9430.75,8251.6298828125,9174.91015625,7263790080,8277.009765625,344.16015625,-897.900390625,9058.7333984375,10083.757114955357,10658.36439732143,9558.731125475582,10191.336003717573,11221.535993410806,986.9617775693787,12632.287952460187,8684.440842182672,20.763314261145737,1,1,1,0,0,25.0,2018,2,3,5
2018-02-04,24,Extreme Fear,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,7073549824,6955.27001953125,-897.900390625,-1321.73974609375,8760.889973958334,9582.429966517857,10421.00083705357,9131.490672192056,9843.27668770074,10953.851790884823,1131.9968874262684,12684.994611906108,8157.0070622010335,10.366799067291382,0,0,0,0,0,-16.0,2018,2,4,6
2018-02-05,11,Extreme Fear,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,9285289984,7754.0,-1321.73974609375,798.72998046875,8135.72998046875,8962.268484933036,10136.991524832589,8406.083787971787,9318.184566215377,10590.344357125407,1448.605290352884,13034.202105538356,7239.780944126821,8.727050234737646,0,0,0,1,1,-13.0,2018,2,5,0
2018-02-06,8,Extreme Fear,7051.75,7850.7001953125,6048.259765625,7754.0,13999800320,7621.2998046875,798.72998046875,-132.7001953125,7662.09326171875,8626.225655691964,9914.534354073661,8188.722525314526,9033.787372358036,10332.494870114006,1562.3161728923767,13039.166699858415,6789.902008288907,25.837565783877395,1,0,0,1,0,-3.0,2018,2,6,1
2018-02-07,36,Fear,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,9169280000,8265.58984375,-132.7001953125,644.2900390625,7443.523274739583,8254.82568359375,9647.527169363839,7999.581618438851,8776.971450963392,10086.022591438868,1614.9303589262017,12877.387887216242,6417.666451511435,23.393130773477594,0,1,1,0,1,28.0,2018,2,7,2
2018-02-08,30,Fear,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,9346750464,8736.98046875,644.2900390625,471.390625,7880.296549479167,8125.547084263393,9433.683558872768,8088.2510268759015,8683.992976924594,9920.528705285335,1582.9721089042896,12599.627776681347,6267.739341064189,39.898554857467516,1,1,1,1,1,-6.0,2018,2,8,3
2018-02-09,44,Fear,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,6784820224,8621.900390625,471.390625,-115.080078125,8207.956705729166,8112.151436941965,9259.796421595982,8304.494174167268,8693.627066347395,9812.93341105485,1509.4020763631706,12278.600574322323,6240.992268869641,48.983177851957386,1,1,1,0,0,14.0,2018,2,9,4
2018-02-10,54,Neutral,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7780960256,8129.97021484375,-115.080078125,-491.93017578125,8541.490234375,8033.150041852678,9058.453578404018,8410.296246319846,8680.585852579687,9704.657681924862,1378.4287340953379,11815.311046594694,6301.596110213342,43.68974112964244,0,1,1,1,0,10.0,2018,2,10,5
2018-02-11,31,Fear,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,6122189824,8926.5703125,-491.93017578125,796.60009765625,8496.28369140625,8012.144391741072,8797.287179129464,8316.854235827814,8580.47391844588,9561.504275826579,1149.1428565993983,11095.57289232826,6499.001465930667,48.1508463612747,0,0,0,0,1,-23.0,2018,2,11,6
2018-02-12,42,Fear,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,6256439808,8598.3095703125,796.60009765625,-328.2607421875,8559.480305989584,8293.758719308036,8628.013602120536,8520.092928051876,8643.400535546629,9503.783006433252,900.293910719827,10428.60142356019,6827.425780680882,78.5635985004833,1,1,1,1,0,11.0,2018,2,12,0
2018-02-13,35,Fear,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,5696719872,9494.6298828125,-328.2607421875,896.3203125,8551.61669921875,8414.37437220982,8520.300013950893,8546.16514213875,8635.202178231331,9421.467239513184,793.7253849637513,10107.750783878395,6932.84924402339,64.16507032949318,0,0,1,0,1,-7.0,2018,2,13,1
2018-02-14,55,Greed,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,7909819904,10166.400390625,896.3203125,671.7705078125,9006.503255208334,8681.992954799107,8468.40931919643,8862.320055696668,8791.461760882452,9428.11838890403,691.0917916488702,9850.592902494169,7086.225735898689,75.0186176629779,1,1,1,1,1,20.0,2018,2,14,2
2018-02-15,71,Greed,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,9062540288,10233.900390625,671.7705078125,67.5,9419.779947916666,8953.537318638393,8539.542201450893,9297.01350067278,9041.450602653824,9495.234934515027,809.9501386381604,10159.442478727215,6919.6419241745725,75.20064787350154,1,1,1,1,1,16.0,2018,2,15,3
2018-02-16,67,Greed,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,7296159744,11112.7001953125,67.5,878.7998046875,9964.976888020834,9167.383021763393,8639.76722935268,9609.309130656853,9258.25965501222,9562.386339615934,927.0991506295485,10493.965530611777,6785.568928093582,72.22623388291152,1,1,1,0,1,-4.0,2018,2,16,4
2018-02-17,74,Greed,10207.5,11139.5,10149.400390625,11112.7001953125,8660880384,10551.7998046875,878.7998046875,-560.900390625,10504.333658854166,9523.21156529018,8778.18080357143,10110.439485542069,9595.430662339542,9703.323962861075,1134.5778582228727,11047.336520017176,6509.025087125684,80.14633610143889,1,1,1,1,0,7.0,2018,2,17,5
2018-02-18,63,Greed,11123.400390625,11349.7998046875,10326.0,10551.7998046875,8744009728,11225.2998046875,-560.900390625,673.5,10632.800130208334,9869.187220982143,8940.665806361607,10257.55959192388,9769.31596094826,9780.458130299841,1217.1657683324524,11374.997343026513,6506.334269696702,78.83026225219024,0,1,1,1,1,-11.0,2018,2,18,6
2018-02-19,67,Greed,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,7652089856,11403.7001953125,673.5,178.400390625,10963.2666015625,10197.5771484375,9245.667933872768,10580.139662845088,10034.040296173576,9911.80737342599,1216.3877957593033,11678.443525391374,6812.892342354162,78.19107566862064,1,0,1,0,1,4.0,2018,2,19,0
2018-02-20,74,Greed,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,9926540288,10690.400390625,178.400390625,-713.2998046875,11060.2666015625,10598.347237723214,9506.360804966518,10854.659840334225,10283.069368744289,10047.433993597491,1262.3351285997767,12031.031062166072,6981.690547766964,85.71751838394368,1,1,1,1,0,7.0,2018,2,20,1
2018-02-21,54,Neutral,11372.2001953125,11418.5,10479.099609375,10690.400390625,9405339648,10005.0,-713.2998046875,-685.400390625,11106.466796875,10769.171595982143,9725.582275390625,10799.906690431151,10357.129554540781,10105.885484236356,1173.1303200597627,12071.842915510151,7379.3216352711,65.96842852861649,0,0,0,0,0,-20.0,2018,2,21,2
2018-02-22,44,Fear,10660.400390625,11039.099609375,9939.08984375,10005.0,8040079872,10301.099609375,-685.400390625,296.099609375,10699.7001953125,10746.11439732143,9849.825857979911,10534.937793620767,10293.10599916973,10096.714076578504,1096.1975375373731,12042.220933054658,7657.430782905165,47.85246211786524,0,0,0,0,1,-10.0,2018,2,22,3
2018-02-23,39,Fear,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,7739500032,9813.0703125,296.099609375,-488.029296875,10332.166666666666,10755.714285714286,9961.548653738839,10456.991732205512,10294.559382843414,10115.294579560003,1052.9048796257468,12067.358412990332,7855.7388944873455,50.84285586199565,1,0,0,0,0,-5.0,2018,2,23,4
2018-02-24,31,Fear,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,6917929984,9664.73046875,-488.029296875,-148.33984375,10039.723307291666,10570.05287388393,10046.632219587054,10242.351258970342,10207.015915508247,10087.819646190912,982.0681582364456,12010.768536059946,8082.495903114163,31.92764654358794,0,1,0,0,0,-8.0,2018,2,24,5
2018-02-25,33,Fear,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,5706939904,10366.7001953125,-148.33984375,701.9697265625,9926.300130208334,10443.328683035714,10156.25795200893,10049.810995563563,10108.418561552202,10049.356993696283,824.7124798014946,11805.682911611919,8506.83299240594,36.065818203796155,0,0,0,0,1,2.0,2018,2,25,6
2018-02-26,37,Fear,9669.4296875,10475.0,9501.73046875,10366.7001953125,7287690240,10725.599609375,701.9697265625,358.8994140625,9948.1669921875,10320.671595982143,10259.12437220982,10155.44072881321,10155.37885859953,10078.206375661393,745.5494622068807,11750.223296623582,8768.025447796059,36.63258343327406,1,1,1,1,1,4.0,2018,2,26,0
2018-02-27,44,Fear,10393.900390625,10878.5,10246.099609375,10725.599609375,6966179840,10397.900390625,358.8994140625,-327.69921875,10252.343424479166,10223.800083705357,10411.073660714286,10345.493689000474,10259.055358740525,10137.060305998993,579.2584875756386,11569.590635865563,9252.55668556301,40.004525763600256,1,1,1,0,0,7.0,2018,2,27,1
2018-02-28,41,Fear,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,6936189952,10951.0,-327.69921875,553.099609375,10496.7333984375,10182.014369419643,10475.592982700893,10362.962589541983,10284.299909992247,10160.773040964994,516.2029324287679,11507.998847558429,9443.187117843358,45.13543853813691,0,1,1,0,1,-3.0,2018,2,28,2
2018-03-01,38,Fear,10385.0,11052.2998046875,10352.7001953125,10951.0,7317279744,11086.400390625,553.099609375,135.400390625,10691.5,10317.1572265625,10531.635811941964,10558.975059694656,10405.518108175474,10232.611855422721,522.603811402139,11576.843434746243,9486.428189137685,66.45711551974165,1,0,0,1,1,-3.0,2018,3,1,3
2018-03-02,47,Neutral,10977.400390625,11189.0,10850.099609375,11086.400390625,7620590080,11489.7001953125,135.400390625,403.2998046875,10811.766927083334,10429.343052455357,10592.52866908482,10734.783503338105,10529.31488680266,10310.228994986566,534.7679485200757,11662.064566124973,9522.992772044669,64.47058908211449,1,1,1,1,1,9.0,2018,3,2,4
2018-03-03,56,Greed,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,6690570240,11512.599609375,403.2998046875,22.8994140625,11175.7001953125,10668.861607142857,10619.457240513393,10986.422400662905,10703.930397440812,10417.45364956165,571.2256810702285,11761.90860265385,9477.005878372936,81.89075922144202,1,1,1,0,1,9.0,2018,3,3,5
2018-03-04,44,Fear,11497.400390625,11512.599609375,11136.099609375,11512.599609375,6084149760,11573.2998046875,22.8994140625,60.7001953125,11362.900065104166,10932.84291294643,10688.08579799107,11161.814803566936,10850.961163247026,10517.012373181045,618.2525984328439,11924.590994856759,9451.580601125383,86.90914141126481,1,0,1,0,1,-12.0,2018,3,4,6
2018-03-05,55,Greed,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,6468539904,10779.900390625,60.7001953125,-793.3994140625,11525.199869791666,11105.214285714286,10712.942940848214,11298.976470607126,10982.295461690748,10613.038503317995,647.8025722538371,12008.548085355887,9417.33779634054,82.4006679652549,1,1,1,1,0,11.0,2018,3,5,0
2018-03-06,59,Greed,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,6832169984,9965.5703125,-793.3994140625,-814.330078125,11288.599934895834,11112.97154017857,10668.385811941964,11125.951110613085,10945.496357860611,10628.20776580045,617.3746668956927,11903.13514573335,9433.636478150578,51.18225184915553,0,0,0,1,0,4.0,2018,3,6,1
2018-03-07,37,Fear,10803.900390625,10929.5,9692.1201171875,9965.5703125,8797910016,9395.009765625,-814.330078125,-570.560546875,10772.923502604166,11051.21010044643,10616.612234933036,10739.157511242058,10767.327985976863,10567.96799731859,645.1539571732814,11906.920149279598,9326.304320586474,42.23302095073413,0,0,0,1,0,-22.0,2018,3,7,2
2018-03-08,39,Fear,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,7186089984,9337.5498046875,-570.560546875,-57.4599609375,10046.826822916666,10828.92578125,10573.04150390625,10291.10826270304,10517.815582276524,10461.335430800991,707.2466938009723,11987.534891508194,9158.548116304306,22.220312127328086,0,0,0,0,0,2.0,2018,3,8,3
2018-03-09,37,Fear,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,8704190464,8866.0,-57.4599609375,-471.5498046875,9566.043294270834,10579.08998325893,10504.216517857143,9973.255443364527,10303.221804533065,10359.17310115431,778.9906467085993,12062.197811274342,8946.235224439944,17.883294541987723,0,0,0,1,0,-2.0,2018,3,9,4
2018-03-10,39,Fear,9350.58984375,9531.3203125,8828.4697265625,8866.0,5386319872,9578.6298828125,-471.5498046875,712.6298828125,9199.519856770834,10204.275669642857,10436.568638392857,9604.170295576352,10041.908749163416,10223.430091958464,878.4053096128886,12193.379257618633,8679.75801916708,2.9954361290760545,0,1,1,0,1,2.0,2018,3,10,5
2018-03-11,40,Fear,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,6296370176,9205.1201171875,712.6298828125,-373.509765625,9260.7265625,9927.99428013393,10430.41859654018,9595.656824655069,9957.676228008702,10164.811891127012,884.5051536759703,12199.42890389212,8661.408289188239,22.218107186395684,1,1,0,1,0,1.0,2018,3,11,6
2018-03-12,41,Fear,9602.9296875,9937.5,8956.4296875,9205.1201171875,6457399808,9194.849609375,-373.509765625,-10.2705078125,9216.583333333334,9589.682896205357,10347.44859095982,9465.47792216588,9820.84784422303,10077.567184405238,943.4577073687927,12234.364005697405,8460.533176222236,18.78585098347733,0,1,1,1,0,1.0,2018,3,12,0
2018-03-13,41,Fear,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,5991139840,8269.8095703125,-10.2705078125,-925.0400390625,9326.199869791666,9363.2470703125,10238.109305245536,9375.26848456892,9707.029983341568,9997.32013212976,984.0878986980536,12206.285102641643,8269.93350784943,23.67296900820682,0,0,1,0,0,0.0,2018,3,13,1
2018-03-14,40,Fear,9214.650390625,9355.849609375,8068.58984375,8269.8095703125,6438230016,8300.8603515625,-925.0400390625,31.05078125,8889.926432291666,9120.995535714286,10086.102818080357,9006.78217981678,9445.717180972646,9840.2737174191,1113.3720073009658,12312.846832682288,7859.358803478425,22.833232945078493,0,0,0,1,1,-1.0,2018,3,14,2
2018-03-15,32,Fear,8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,6834429952,8338.349609375,31.05078125,37.4892578125,8588.506510416666,8964.6884765625,9896.80712890625,8771.474903732022,9237.561393807164,9700.327047795774,1178.4000712878483,12253.607271481946,7540.006986330553,28.807963178658937,1,0,0,1,1,-8.0,2018,3,15,3
2018-03-16,33,Fear,8322.91015625,8585.150390625,8005.31005859375,8338.349609375,5289379840,7916.8798828125,37.4892578125,-421.4697265625,8303.006510416666,8821.945591517857,9700.517787388393,8627.099805613016,9074.068342092225,9576.510917030248,1193.7784905240817,12088.074768436556,7312.96080634023,30.496104295168507,1,1,1,0,0,1.0,2018,3,16,4
2018-03-17,31,Fear,8321.91015625,8346.5302734375,7812.81982421875,7916.8798828125,4426149888,8223.6796875,-421.4697265625,306.7998046875,8185.36328125,8686.357003348214,9445.316336495536,8390.359831346177,8863.670440405002,9425.635368464997,1163.376837419641,11772.070011334818,7118.562661656254,31.104215636525538,0,0,0,0,1,-2.0,2018,3,17,5
2018-03-18,29,Fear,7890.52001953125,8245.509765625,7397.990234375,8223.6796875,6639190016,8630.650390625,306.7998046875,406.970703125,8159.636393229167,8492.792689732143,9210.393484933036,8334.799783397451,8747.308485331365,9316.366670195452,1039.2633182734326,11288.920121479901,7131.866848386171,17.825537470462606,1,0,0,1,1,-2.0,2018,3,18,6
2018-03-19,29,Fear,8344.1201171875,8675.8701171875,8182.39990234375,8630.650390625,6729110016,8913.4697265625,406.970703125,282.8193359375,8257.069986979166,8410.7255859375,9000.20424107143,8433.416652473301,8726.09792265748,9254.028826598138,793.0054663398728,10586.215173751174,7414.193308391684,36.57210528165945,1,1,1,1,1,0.0,2018,3,19,0
2018-03-20,37,Fear,8619.669921875,9051.01953125,8389.8896484375,8913.4697265625,6361789952,8929.2802734375,282.8193359375,15.810546875,8589.2666015625,8370.52845982143,8866.887765066964,8593.434343836368,8760.165523367483,9223.068908413079,605.5212781509205,10077.930321368805,7655.845208765123,44.16621212470931,1,1,1,0,1,8.0,2018,3,20,1
2018-03-21,36,Fear,8937.48046875,9177.3701171875,8846.330078125,8929.2802734375,6043129856,8728.4697265625,15.810546875,-200.810546875,8824.466796875,8464.738560267857,8792.86704799107,8705.382987036746,8790.913659743848,9196.360850688026,517.8810964729754,9828.629240937022,7757.10485504512,71.94709282221015,1,1,1,0,0,-1.0,2018,3,21,2
